,doi,chunk,abstract_bool,definition_bool,table_bool,definition
74,lakes1,4,True,False,False,
75,lakes1,5,True,False,True,
76,lakes1,6,True,False,False,
77,lakes1,7,True,False,False,
78,lakes1,8,True,False,True,
79,lakes1,9,True,False,False,
80,lakes1,10,True,False,True,
81,lakes1,11,True,False,False,
82,lakes1,12,True,False,True,
83,fake2,-1,False,,,
84,definitions2,-1,True,,,
85,definitions2,0,True,False,False,
86,definitions2,1,True,True,False,"Ponds are small standing waters varying in size from 1 m<sup>2</sup> to about 2-5 ha in area and may be permanent or seasonal, man-made or naturally created. 

While the text acknowledges difficulty in defining the difference between ponds and lakes, it states most authors adopt a size-based classification with a boundary between 1 and 5 ha for practical purposes. Additionally, some studies restrict 'pond' to waters of no more than 0.5 ha, or extend it to include those up to 8 m in depth or 10 ha in area. The Ramsar Convention adopted a cut-off between ponds and lakes of 8 ha.
</end_of_turn>"
87,definitions2,2,True,False,False,
88,definitions2,3,True,False,False,
89,definitions2,4,True,False,False,
90,definitions2,5,True,False,False,
91,definitions2,6,True,False,False,
92,definitions2,7,True,False,False,
93,definitions2,8,True,False,False,
94,definitions2,9,True,False,False,
95,definitions2,10,True,False,False,
96,definitions2,11,True,False,False,
97,definitions2,12,True,False,False,
98,definitions2,13,True,False,False,
99,definitions2,14,True,False,False,
100,definitions2,15,True,False,False,
101,definitions2,16,True,False,False,
102,definitions2,17,True,False,False,
103,definitions2,18,True,False,False,
104,definitions2,19,True,False,False,
105,definitions2,20,True,False,False,
106,definitions2,21,True,False,False,
107,definitions2,22,True,True,False,"The context defines ponds as waterbodies **less than 1 acre** (Elton & Miller, 1954). It also refers to **lakes less than 5-10 ha** as a separate category of small waterbody.
"
108,definitions2,23,True,False,False,
109,definitions2,24,True,False,False,
110,definitions2,25,True,False,False,
111,definitions2,26,True,False,False,
112,ponds2,-1,True,,,
113,ponds2,0,True,True,False,"Here are the definitions of ponds and lakes provided in the text:

**Ponds:** small lentic ecosystems that permanently or temporarily hold water; shallow, ranging in size from a few square metres to several hectares.

**Lakes:** The text states that ponds are much more numerous than lakes, and that studies have concentrated mainly on *moderately large* lakes, but does not provide a defining characteristic for lakes beyond their relative size compared to ponds.
"
114,ponds2,1,True,False,True,
115,ponds2,2,True,False,True,
116,ponds2,3,True,False,False,
117,ponds2,4,True,False,False,
118,ponds2,5,True,False,False,
119,ponds2,6,True,False,True,
120,ponds2,7,True,False,True,
121,ponds2,8,True,False,True,
122,ponds2,9,True,False,True,
123,definitions1,-1,True,,,
124,definitions1,0,True,False,False,
125,definitions1,1,True,False,False,
126,definitions1,2,True,True,True,"The context states that the small water bodies sampled ""most of them correspond to the criteria of the definition of a pond presented by Oertli et al. (2005a)"". It does not, however, *provide* the definition itself, only that one exists in the work of Oertli et al. (2005a).
"
127,definitions1,3,True,False,False,
128,definitions1,4,True,False,False,
129,definitions1,5,True,False,True,
130,definitions1,6,True,False,True,
131,definitions1,7,True,False,False,
132,definitions1,8,True,False,True,
133,definitions1,9,True,False,True,
